ID	Text	Label
70	كاش ديگران از روی خنده های عصبیم بفهمن که حرفای خاله زنکی و چرت که هرکسی میتونه پشت سر اون یکی بگه رو نه باور میکنم نه به جاییم هست نه تغییری تو دیدم به ادمی که دارن پشت سرش زر میزنن داره، حالا راجع به خودشون چرا. پ.ن. فقط یه چارتا خواص و از فیلتر رد شده هستن که حرفشون سنده برام	[0. 0. 1. 0. 0. 0. 0.]
71	چرا تو بیو هاتون نمیزنید متعهد؟ چرا باعث میشین من سوتی بدم؟ چرا لامصبا چرا؟	[0. 0. 1. 0. 0. 0. 0.]
72	پیشنهاد میکنم بخرید ت شگفت انگیز که شک نکنید	[0. 0. 0. 0. 0. 0. 1.]
73	عجب برف قشنگی تو . . .	[1. 0. 0. 0. 0. 0. 0.]
74	اصن بیا اصفهان تا من توریست خشگلا رو نشونت بدم	[0. 0. 0. 0. 0. 0. 1.]
75	من آن تک درخت پیر باغم لبم خشک و تنم خشکیده و سرد نخواهم مشک پرآب تو ای شیخ عجب درد و عجب درد و عجب درد #سعیددامغانیان	[0. 1. 0. 0. 0. 0. 0.]
76	تمرین نظامی ارتش اسرائیل برای مقابله با نیروهای مقاومت درهتل⁦⁩ خودشونم باور کردن از رگ کردن بهشون نزدیکتریم جایی توی #زندگی_سگی_اسرائیلیها نیست که ترس توش سایه نیفکنده باشه ⁦⁩	[0. 0. 0. 1. 0. 0. 0.]
77	قیمتش به نسبت خیلی از ماسکها موها باتوجه به کاراییش مناسبه و تو پیشنهاد شگفت انگیز عالیهاستاد عزیزی که فکر میکردم امتحانتو بد دادم و صد در صد میوفتم ولی بهم ارفاق کردی و قبولم کردی #صبح_شما_هم_بخیر اصلا نمرمو دیدم اشک تو چشمام حلقه زد خیلی دلشاد شدم خدا دلتو شاد کنه استاد	[1. 0. 0. 0. 0. 0. 0.]
78	امروز طبقه دوم استادیوم، آخر بازی همه داشتن فحش میدادن. یه درجه دار نیروی انتظامی هم جوگیر شد و خطاب به بازیکنا داد زد: «پفیوزا». همه خندیدن و من بهت زده باهاش چشم تو چشم شدم. خیلی معصومانه گفت: «والّا...»	[0. 0. 0. 0. 1. 0. 0.]
79	چقد ناراحت کننده ،تازه احساس میکنم روز خوشمونه	[0. 1. 0. 0. 0. 0. 0.]
80	۱۲ آذر سالروز درگذشت #محمدمختاری از جمله قربانیان قتلهای زنجیرهای... روحش شاد یادش گرامی …	[0. 1. 0. 0. 0. 0. 0.]
81	ای کاش این ترس جدایی با ما نبود...	[0. 0. 0. 1. 0. 0. 0.]
82	بابا اینجا ایرانه! چند ساعت برنامه اونم برنامه زنده جا به جا شدن مگه چقدر عجیبه که انقدر شاکی شدین؟! کلا اموال آینده رو میشناسین؟ ایران مال و ... مگه این بانک ورشکست میشه که با یه شایعه شما به هم ریختین؟! بچه شدین عایا؟?	[0. 0. 0. 0. 1. 0. 0.]
83	دانشجوی واقعی فرق بین غائله و جنبش دانشجویی رو میدونه و امروز دانشجویان امیرکبیر باید ثابت کنند که یه دانشجوی واقعی هستند و از روشن شدن حقیقت با اکران #هاشمی_زنده_است فرار نمی کنند.	[0. 0. 0. 0. 0. 0. 1.]
84	این ست ست خوبیه  اما یه مشکل بزرگ داره . اونم اینه که با این قیمت حتی بعد از شگفت انگیز اصلا توجیح اقتصادی نداره . شما صد تومن دیگه بذاری روش میتونی یه ست فرز مینیاتوری با دویست تا لوازم بخری . به نظرم باید قیمت کمتر بشه	[0. 0. 0. 0. 0. 0. 1.]
85	احمق تویی ترسو	[0. 0. 1. 0. 0. 0. 0.]
86	تنها چیزی که از چهرهی دیگران زیاد تو ذهن آدم باقی میمونه مدلِ خندیدنشونه... روز بخیر لبت خندون رفیق	[1. 0. 0. 0. 0. 0. 0.]
87	"عكس پرى درياييه!! مشترى خواسته بود واسه روى كيكش! اين ريپلاى مديريت هست بعد از ديدن عكس كيك. لطفا ديگه سفارشات غيرانسانىِ ""متأثر كننده"" نديد . ما جريمه ميشيم!! #شيرينى_الف"	[0. 0. 0. 0. 0. 0. 1.]
88	از اینکه اینجا توییتر Vpn نمیخواد لذت میبرم و از این لذت حقیرانه شرمسارم	[1. 0. 0. 0. 0. 0. 0.]
89	شودم سرگردان حیران دربدر خدایا	[0. 1. 0. 0. 0. 0. 0.]
90	روز سالمندو به تمام جوونای ایران تبریک میگم. #ایران_را_پس_میگیریم	[0. 1. 0. 0. 0. 0. 0.]
91	بوسکتس رو نزن وحشی	[0. 0. 1. 0. 0. 0. 0.]
92	مرحوم دانائى فرد رو يكبار از نزديك ملاقات كردم. انسانى متين،آرام و باشخصيت روحش شاد	[0. 1. 0. 0. 0. 0. 0.]
93	" ""با سلامبامیلو لطفا بذارش داخل پیشنهاد های شگفت انگیز..."	[0. 0. 0. 0. 0. 0. 1.]
94	هنوز با این همه وقتی که از فینال آسیا میگذره قبل هر مسابقه تبریک میگن بابات فینالیست شدن پرسپوليس. در میزان توجه به پرسپوليس فقط جمال خاشقچی میتونست رقابت کنه توی خبرهای ماه پیش بعد امروز پرسپوليس به صداوسیما نامه نوشته که عدالت رو رعایت کن لطفا	[0. 0. 0. 0. 0. 0. 1.]
95	این ویدیوی برف زدن و حمله به دخترا وحشتناکترین چیزی هست که تو عمرم دیدم. فروپاشی اخلاق به واضحترین و شدیدترین شکل خودش تو یک جامعه. مسئولینی که با دیدن این ویدیو از شرم سکته نکنند واقعا بویی از شرف نبردن	[0. 0. 0. 1. 0. 0. 0.]
96	در ۱۴مرداد ۱۳۸۴ کشورهای اروپایی پس از ۲ سال #تعلیق_داوطلبانه فعالیت های هسته ای ایران، در طرحی به صراحت خواستار تعطیلی کامل هسته ای شدند! ۶روز بعد #هفتمین قطعنامه علیه ایران در شورای حکام تصویب شد. ۴روز بعد ماموریت آقای روحانی در شورای عالی امنیت ملی با ۷ قطعنامه به پایان رسید	[0. 0. 0. 0. 0. 0. 1.]
97	من ادعا مردم ظریف به عنوان وزیر خارجه با توجه به شرایط بین المللی خوب و موفق عمل کرده من روی گوشی سامسونگ j7  pro استفاده میکنم کلید های کم و زیاد صداش هم کار میکنهزود در مورد مسایل منطقه و بحران های جاری نظر بدم نگن طرف فلانه #ایرانی	[0. 0. 0. 0. 0. 0. 1.]
98	خانوم مهستی داره میخونه و باید پاشم قر بدم بجا کد زدن	[1. 0. 0. 0. 0. 0. 0.]
99	گزارش اختصاصی #مشرق از رابطه «پریوش سطوتی» با مسئولان ساواک/ دولت احمدینژاد از روابط پریوش با ساواک مطلع نبود؟+ اسناد #مشایی	[0. 0. 0. 0. 0. 0. 1.]
100	اینجوری که این داره برامون وقت میذاره اگه چهار روز دیکه زنگ بزنه تولدم رو تبریک بگه تعجب نمیکنم. …	[0. 0. 0. 0. 1. 0. 0.]
101	ما مثلن حرفهای خوب میزنیم. مثلن با هم مهربون هستیم. مثلن از کنار هم بودن شادیم. ولی خب. واقعیت که این نیست. تو داری به فرار کردن فکر میکنی و من به ساختن قصر!	[0. 1. 0. 0. 0. 0. 0.]
102	اخبار #ایذه نگران کننده است تو رو خدا همه رو دعوت کنید به آرامش نه خشونت..واقعا شوخی نیست ریختن خون هر کدوم از طرفین. #نه_به_خشونت	[0. 1. 0. 0. 0. 0. 0.]
103	من اخبارو دنبال نمیکنم و کلا هم بیحس هستم نسبت بهشون. ولی این روزا #نماينده_سراوان و #آتش_سوزی_مدرسه_زاهدان خیلی روی اعصابم رفته. در کنار فحش دادن و حرص خوردن سعی میکنم شبیه کسایی که دارم بهشون فحش میدم نباشم. بیمسئولیت و احمق و خودخواه و بیسواد و سهلانگار و مفتخور نباشم.	[0. 0. 1. 0. 0. 0. 0.]
104	رنگ سفیدش خیلی جذابه کاملا انعطاف پذیر و حتی درایور هاش هم تنظیم میشن و کاملا روی سر ثابت هست.بيهوده بر قفل ها خشم مى ورزى درهاى همه زندان هاى جهان از درون باز مى شود. #رافائل_آلبرتى	[0. 0. 0. 0. 0. 0. 1.]
105	زشت تویی..زر نزن..دهنتم ببند..دوس دارم نظر بدم فضولی مگه	[0. 0. 1. 0. 0. 0. 0.]
106	"من تو شگفت انگیز خریدم"""	[1. 0. 0. 0. 0. 0. 0.]
107	عجب چیزی بودا	[0. 0. 0. 0. 1. 0. 0.]
108	من پول ندارم برا ریت بدم هر کی زده پس بگیره	[0. 0. 0. 0. 0. 0. 1.]
109	لعنت بر کسانی که اول بار حجاب از سر اهل بیت پیامبر برداشتند و لعنت به بازماندگان اونها .... #FreeMarziehHashemi …	[0. 0. 0. 0. 0. 1. 0.]
110	" ""باسلامیهو یاد بحثی پیرامون قافیهٔ یه بیت شعر افتادم که تو دبستان یا راهنمایی با یکی از دوستام داشتم و یه لحظه واقعاً اعصابم خورد شد!! پر واضح بود که حق با منه، ولی اون کژطبع جانور نمیفهمید. کلاً یعنی میخوام بگم شبا زود بخوابید وگرنه کسخل میشید."	[0. 0. 1. 0. 0. 0. 0.]
111	پاره شدم ا خنده	[1. 0. 0. 0. 0. 0. 0.]
112	ای لعنت بر این ویندوز ایکس پی سرویس پک 3!! پیر ما رو درآورد	[0. 0. 1. 0. 0. 0. 0.]
113	تبریک برای آزادی #ضیا_نبوی و آرزوی سلامتی برای او. اما کاش کسانیکه از آزادی ضیای عزیز نوشتند و خبرش را منعکس کردند، از بازداشت و ضربوشتم مادر و خواهر #آتنا_دائمی هم مینوشتند... این تفکیک زندانیان سیاسی به خودی و غیرخودی والا ظلمه، جفاست....	[0. 1. 0. 0. 0. 0. 0.]
114	کانال مستقل کارگران هفتتپه، خبر لز وخامت حال اسماعیل بخشی، کارگر زندانی و امتناع مسئولان از آزادی او با وجود صدور قرار کفالت داد. #اسماعیل_بخشی کارگر مجتمع نیشکر هفتتپه، پس از اعتراضات کارگران این مجتمع جهت احقاق حقوق خود بازداشت و تحت شکنجه مجبور به اعتراف علیه خود شد.	[0. 1. 0. 0. 0. 0. 0.]
115	از همه تخمه ژاپنی ها بدم میاد. نه واسه ایران که از ژاپن باخت. چون بد شکسته میشه دندونام اذیت میشن.	[0. 0. 0. 0. 0. 1. 0.]
116	۶ و آخری. افکارتون رو کنترل کنید. منفیها رو دور کنید و فقط روی مثبتترین هدفتون تمرکز کنید. و برای حسن ختام، ممنون میشم #ریتوییت کنید که بقیه هم استفاده کنن و چقدرررر لطف میکنید اگه تجربهٔ مشابه از IBS داشتید رو اینجا منشن کنید که بقیه هم استفاده کنن. شاد باشید	[1. 0. 0. 0. 0. 0. 0.]
